Practice_Code,EasyToGetThrough,HelpfulReception,NotUsedOnlineServices,WebsiteEasyToUse,HavePreferredGP,OftenSeePreferredGP,DidNotTryToGetInfo,OfferedChoice,InPerson,SameDay,GoodExperience,WithGP,GivingYouEnoughTime,ListeningToYou,CareAndConcern,UnderstoodMentalHealthNeeds,Involved,ConfidenceAndTrust,NeedsMet,GoodOverallExperience,Avoided,LongTermCondition,LongCovid,GoodExperienceWhenClosed,White,Aged85OrOver,Aged65OrOver,Unemployed,PermanentlySickOrDisabled,Carer,ParentOrGuardian,NeverSmoked,Heterosexual,SatisfiedOffer
A84002,0.956277741,0.976032712,0.448901646,0.901870561,0.459340614,0.609566786,0.511080996,0.862207761,0.720962146,0.267984099,0.875341641,0.627589289,0.945865323,0.952212096,0.948461238,0.880181964,0.96833287,0.976885697,0.976920684,0.935436411,0.244321249,0.612997558,0.044197246,0.570534428,0.975111565,0.065454007,0.403906463,0,0.016757248,0.220082831,0.196095288,0.639036965,0.972493543,0.939216946
A84005,0.679716697,0.906893674,0.467296905,0.786365146,0.437280441,0.346687845,0.406864959,0.640621836,0.677729236,0.261788043,0.676792551,0.640957163,0.944991996,0.950934558,0.962236957,0.969567996,0.955307083,0.968561748,0.973535256,0.908200219,0.304555457,0.537987243,0.020042341,0.726791526,0.981550877,0.022985702,0.264101948,0.01355863,0.076070349,0.154624024,0.256163758,0.594049952,0.956237793,0.78252573
A84006,0.476477989,0.889523517,0.393304359,0.715017472,0.346428913,0.349604994,0.402283625,0.642359788,0.658493858,0.369987357,0.543008339,0.441806955,0.917640375,0.879813405,0.893233557,0.940328193,0.911066185,0.958600931,0.93671816,0.758745869,0.456615714,0.633133714,0.044943522,0.340241757,0.981533348,0.045199467,0.349998536,0,0.012821289,0.229670307,0.120035341,0.643618719,0.921033192,0.8348451
A84007,0.268057754,0.749915599,0.41686685,0.700331753,0.254731886,0.200332096,0.470791469,0.515919913,0.792746089,0.354646375,0.413239617,0.548181054,0.832398594,0.869286531,0.895255884,0.843299078,0.969373892,0.968057822,0.992011418,0.608728941,0.505876123,0.595514627,0.061236139,0.502656093,0.920474835,0.06782653,0.334898158,0.018766007,0,0.238679149,0.252110766,0.663157956,0.916292196,0.752736907
A84011,0.583835983,0.859392084,0.503719698,0.683870979,0.493885778,0.347043511,0.435538718,0.682087753,0.687760155,0.129638676,0.510920708,0.741449712,0.767545958,0.848562223,0.851398757,0.783593911,0.930833497,0.949352492,0.916333446,0.736004866,0.461703231,0.414498261,0.057800914,0.401265365,0.930961871,0.030961263,0.285272502,0.031469239,0.03248821,0.213345529,0.278388312,0.731216974,0.97728174,0.538701619
A84013,0.750933469,0.929351318,0.62677425,0.833841699,0.333548409,0.196210583,0.503925068,0.731280672,0.58412503,0.241211913,0.677248644,0.632200958,0.843828598,0.885596808,0.865980507,0.878801067,0.940659241,0.964365838,0.95491511,0.81645225,0.43411426,0.659674948,0.088232963,0.643728825,0.995340519,0.022429046,0.226832014,0.008588768,0.111179939,0.226045978,0.256126515,0.477771439,0.947379661,0.804830795
A84014,0.739819006,0.925710254,0.542626599,0.815468242,0.465731363,0.463155169,0.415857457,0.731038771,0.913231935,0.24203729,0.682359289,0.610607007,0.909784606,0.90136775,0.907759124,0.84286095,0.906221787,0.927898468,0.950941471,0.873959716,0.408272219,0.695022147,0.0978217,0.45725587,0.981121986,0.040787441,0.332310498,0.05907724,0.069434924,0.259375857,0.193015243,0.61298407,0.958265976,0.748348964
A84016,0.705009049,0.941838875,0.49378929,0.823905721,0.612473599,0.497426703,0.402655733,0.790386562,0.900121527,0.214645813,0.675900158,0.661406421,0.822177536,0.857347486,0.830244332,0.783447502,0.929784208,0.920407949,0.889133081,0.771173637,0.345559672,0.657503984,0.029762949,0.665077653,0.966471966,0.023483971,0.270028579,0.018753594,0.063690233,0.170251178,0.181585878,0.552221692,0.935683102,0.74113591
A84018,0.941521873,0.98623644,0.557084665,0.809302231,0.474221712,0.542450332,0.499121274,0.917906513,0.625000816,0.197274843,0.857760781,0.788403423,1,0.980952854,0.980563064,0.95181596,0.973302917,0.993868147,0.987850704,0.947710438,0.310663921,0.519038187,0.034440931,0.299125554,1,0.054018366,0.323922695,0.009870489,0,0.182402606,0.260372088,0.591905527,0.957841264,0.851536988
A84020,0.371341865,0.832238388,0.527300533,0.560263582,0.372137986,0.319848483,0.484115633,0.667634701,0.794827656,0.39890777,0.564443966,0.329641715,0.865666271,0.853771804,0.859911339,0.779674694,0.928500188,0.949033074,0.960858368,0.741246636,0.470321717,0.686877991,0.072180114,0.447985169,0.980814264,0.045311811,0.364486771,0.023985408,0.051840249,0.272820988,0.158280149,0.622153662,0.923443252,0.748868576
A84022,0.10802627,0.790342096,0.497870978,0.644937102,0.260534072,0.215957763,0.454338327,0.512975756,0.736020636,0.369244421,0.317014812,0.431926595,0.814797577,0.86847952,0.819148031,0.792484309,0.932423308,0.92424752,0.905080898,0.607190749,0.617308623,0.730717826,0.075790988,0.427136458,1,0.066033896,0.401722848,0.033931788,0.066844727,0.22327912,0.216098948,0.524609369,0.912905551,0.634531532
